userid,sex,nationality,age,usertype
299654,Female,Thai,29,UNSPECIFIED
332930,Female,Thai,29,GENERAL
155045,Female,Thai,53,GENERAL
322620,Female,Thai,34,GENERAL
307076,Male,Thai,34,UNSPECIFIED
283083,Male,Thai,38,UNSPECIFIED
323768,Male,Thai,39,GENERAL
228599,Male,Not Thai,48,GENERAL
315715,Male,Not Thai,53,UNSPECIFIED
334956,Female,Thai,35,GENERAL
269972,Female,Thai,46,GENERAL
316342,Male,Not Thai,53,UNSPECIFIED
315854,Female,Thai,34,UNSPECIFIED
295885,Male,Thai,38,UNSPECIFIED
285810,Female,Thai,32,GENERAL
281222,Female,Thai,42,GENERAL
160893,Male,Thai,38,GENERAL
257797,Female,Thai,46,GENERAL
327972,Male,Thai,38,GENERAL
324780,Male,Thai,23,GENERAL
327458,Male,Thai,31,GENERAL
202411,Male,Thai,31,GENERAL
333697,Male,Thai,33,GENERAL
11067,Male,Thai,28,STUDENT
293877,Male,Thai,32,UNSPECIFIED
61710,Female,Thai,37,GENERAL
142989,Male,Thai,33,GENERAL
120777,Male,Thai,22,GENERAL
66358,Male,Thai,39,GENERAL
332643,Male,Thai,49,GENERAL
295896,Male,Thai,50,UNSPECIFIED
327121,Female,Thai,42,GENERAL
23118,Male,Thai,32,GENERAL
303951,Female,Thai,31,UNSPECIFIED
289637,Male,Thai,25,GENERAL
6974,Male,Japanese,63,GENERAL
70667,Male,Thai,36,GENERAL
171773,Male,Thai,54,GENERAL
15009,Male,Thai,29,GENERAL
198563,Male,Thai,36,GENERAL
273438,Male,Thai,21,GENERAL
277835,Male,Thai,52,GENERAL
138855,Female,Thai,41,GENERAL
49500,Male,Thai,24,STUDENT
119757,Female,Thai,35,GENERAL
272745,Male,Thai,44,GENERAL
209509,Male,Thai,22,GENERAL
21217,Male,Indian,47,GENERAL
283198,Female,Thai,47,GENERAL
9767,Male,Thai,28,GENERAL
304283,Male,Thai,32,UNSPECIFIED
305456,Female,Thai,41,GENERAL
294469,Male,Irish,44,UNSPECIFIED
69841,Male,Thai,31,GENERAL
305665,Male,Thai,42,UNSPECIFIED
145127,Male,Thai,38,GENERAL
303630,Male,Thai,29,UNSPECIFIED
11150,Male,German,38,GENERAL
171911,Male,Thai,32,GENERAL
32782,Male,Thai,35,GENERAL
305042,Male,Burmese,28,UNSPECIFIED
248013,Female,Thai,29,GENERAL
295173,Male,Thai,25,UNSPECIFIED
63759,Male,Thai,41,GENERAL
78321,Male,Thai,33,GENERAL
21501,Male,Japanese,26,GENERAL
63076,Male,Thai,36,GENERAL
8508,Male,Burmese,27,GENERAL
275011,Male,Thai,49,GENERAL
287749,Female,Thai,30,GENERAL
14313,Male,Thai,31,GENERAL
306450,Male,Russian,38,UNSPECIFIED
228371,Male,Thai,25,STUDENT
281764,Female,Thai,42,GENERAL
230199,Female,Thai,35,UNSPECIFIED
271305,Male,Thai,48,GENERAL
188023,Male,Thai,35,GENERAL
242673,Male,Thai,27,GENERAL
279215,Female,Thai,45,GENERAL
267598,Female,Thai,32,GENERAL
270179,Male,Thai,25,GENERAL
228539,Male,Thai,35,GENERAL
237621,Male,Thai,23,STUDENT
4594,Male,Thai,34,GENERAL
430,Male,Thai,28,GENERAL
2207,Male,Thai,28,GENERAL
281188,Male,Thai,21,GENERAL
3682,Male,Thai,33,GENERAL
285965,Male,Pakistani,29,GENERAL
106163,Male,Thai,41,GENERAL
209657,Female,Thai,41,GENERAL
30249,Male,Thai,39,GENERAL
8164,Male,Thai,26,STUDENT
258237,Female,Thai,43,GENERAL
111749,Male,Thai,29,GENERAL
213833,Male,Thai,22,GENERAL
200529,Male,Thai,26,GENERAL
306453,Male,Dutch,56,UNSPECIFIED
12966,Female,Thai,30,GENERAL
25071,Male,Thai,29,GENERAL
228631,Female,Thai,45,GENERAL
298987,Female,Thai,33,UNSPECIFIED
94387,Male,Thai,48,GENERAL
132493,Male,Thai,25,STUDENT
223431,Female,Thai,24,GENERAL
59669,Male,Thai,24,STUDENT
11799,Female,Thai,31,GENERAL
228109,Male,Thai,23,STUDENT
123653,Male,Thai,45,GENERAL
27314,Female,Thai,40,GENERAL
196123,Male,Thai,29,GENERAL
109027,Female,Thai,33,GENERAL
289911,Male,Thai,26,GENERAL
256553,Male,Thai,31,GENERAL
235069,Male,Thai,33,GENERAL
308244,Male,Thai,51,UNSPECIFIED
263303,Male,Thai,26,GENERAL
288926,Male,Thai,43,GENERAL
206265,Male,Thai,32,GENERAL
307711,Male,South Korean,46,UNSPECIFIED
213241,Male,Thai,42,GENERAL
126385,Female,Thai,47,GENERAL
216513,Female,Thai,33,GENERAL
254443,Male,Russian,32,GENERAL
272320,Female,Thai,38,GENERAL
308453,Male,Thai,30,UNSPECIFIED
308910,Male,Burmese,38,UNSPECIFIED
552,Male,Thai,28,STUDENT
282492,Female,Thai,31,GENERAL
293227,Male,Thai,29,UNSPECIFIED
94757,Female,Thai,32,GENERAL
277908,Male,Thai,27,STUDENT
309017,Male,Thai,34,UNSPECIFIED
16523,Male,Thai,37,GENERAL
196163,Male,Thai,37,GENERAL
12875,Male,Thai,33,GENERAL
253635,Male,Thai,29,GENERAL
248561,Male,Thai,27,GENERAL
195373,Male,Thai,26,STUDENT
303530,Male,Thai,24,UNSPECIFIED
114057,Male,Thai,39,GENERAL
284377,Male,Thai,30,GENERAL
128101,Male,Thai,40,GENERAL
304232,Male,Thai,23,UNSPECIFIED
4548,Male,Thai,49,GENERAL
302276,Female,Thai,24,UNSPECIFIED
20243,Male,Thai,33,GENERAL
281639,Female,Thai,25,GENERAL
222081,Male,Thai,21,GENERAL
137383,Male,Thai,27,GENERAL
197195,Female,Thai,33,GENERAL
310250,Male,Russian,37,UNSPECIFIED
310698,Female,Burmese,40,UNSPECIFIED
4810,Male,Thai,28,GENERAL
310927,Female,Thai,35,UNSPECIFIED
184571,Male,Thai,48,GENERAL
26602,Male,Thai,47,GENERAL
311119,Female,Thai,28,UNSPECIFIED
13097,Male,Thai,32,GENERAL
6121,Male,Thai,39,GENERAL
28269,Male,Thai,36,GENERAL
41167,Male,Thai,35,GENERAL
15938,Male,Thai,30,GENERAL
289267,Male,Thai,30,UNSPECIFIED
31765,Female,Thai,35,GENERAL
273801,Male,Thai,25,GENERAL
8673,Female,Thai,37,GENERAL
128741,Male,Thai,39,GENERAL
277428,Male,South Korean,41,GENERAL
291135,Male,Thai,48,UNSPECIFIED
311735,Male,Thai,41,UNSPECIFIED
154321,Male,Thai,29,GENERAL
312158,Male,Thai,41,UNSPECIFIED
85785,Male,Thai,42,GENERAL
310517,Male,Thai,48,UNSPECIFIED
308011,Male,Thai,32,UNSPECIFIED
