age,sex,nationality,usertype,stationtype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,timeofday,dayofweek,holiday,reservation_count,view_count
25-45,Male,Thai,GENERAL,OTHER STATION,ISUZU,D-Max-CAB_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,XPANDER_CROSS,Non-EV,M,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,530E_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,BRIO,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,SUBARU,XV,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,E350e_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,C200,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,SUBARU,FORESTER,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,FORD,ECOSPORT,Non-EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BYD,SEAL,EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,HR-V_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,GLC250D,Non-EV,L,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,CX-3,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HYUNDAI,GRAND_STAREX,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,GS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,CLS_300D_COUPE,Non-EV,L,COUPE,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,CLA250,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TESLA,MODEL_3,EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,AION,Y-PLUS,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,HARRIER,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CR-V,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,YARIS_CROSS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,C-HR_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HAVAL,JOLION_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,GLA200,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,VOLVO,S60,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TAILG,WARRIOR,EV,XS,MOTO,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,TRITON_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,TEANA,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,MAXUS_9,EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,X3,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,MAJESTY,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,GLA250,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,I7,EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,CHEVROLET,TRAILBLAZER,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,BRIO_AMAZE,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,BZ4X,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,C220,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CITY_HYBRID_Sedan,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,FORD,FOCUS,Non-EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,SCANIA,K-SERIES,Non-EV,XL,BUS,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,JAZZ,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,TEANA,Non-EV,,,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,VOLVO,EX30-EV,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,SUZUKI,CELERIO,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,320LI,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,218I,Non-EV,M,COUPE,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MINI,COOPER,Non-EV,L,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,DEEPAL,L07,EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,X-TRAIL,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TESLA,MODEL_Y,EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CITY_HYBRID_Hatchback,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,EXTENDER_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,3_Sedan,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,PORSCHE,TAYCAN,EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TESLA,MODEL_X,EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,SLK200,Non-EV,L,CONVERTIBLE,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BYD,M6,EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,SUZUKI,ERTIGA,Non-EV,S,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,A180,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,ES,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
