,age,sex,nationality,usertype,stationtype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,timeofday,dayofweek,holiday,reservation_count,view_count,predicted_score
8,25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,2_Sedan,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014934866
119,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,GLA200,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014841156
127,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,GLA250,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014830893
108,25-45,Male,Thai,GENERAL,OTHER STATION,HYUNDAI,GRAND_STAREX,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014821608
36,25-45,Male,Thai,GENERAL,OTHER STATION,MG,5,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014809342
27,25-45,Male,Thai,GENERAL,OTHER STATION,HYUNDAI,H-1,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014801044
82,25-45,Male,Thai,GENERAL,OTHER STATION,HYUNDAI,H-1-VIP,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014790762
103,25-45,Male,Thai,GENERAL,OTHER STATION,FORD,ECOSPORT,Non-EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014785575
63,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,COMMUTER,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014772294
21,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,BR-V,Non-EV,S,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014730291
3,25-45,Male,Thai,GENERAL,OTHER STATION,BYD,DOLPHIN,EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,1.0,0.0014691027
133,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CITY_HYBRID_Sedan,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014652507
80,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,YARIS,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014651865
18,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CITY_Sedan,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014631944
29,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,FORTUNER,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.001459172
69,25-45,Male,Thai,GENERAL,OTHER STATION,ISUZU,MU-X,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014578272
6,25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,3_Hatchback,Non-EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014541578
129,25-45,Male,Thai,GENERAL,OTHER STATION,CHEVROLET,TRAILBLAZER,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014533391
136,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,JAZZ,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014499929
114,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,HARRIER,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014478676
83,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,X7,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014443053
85,25-45,Male,Thai,GENERAL,OTHER STATION,HYUNDAI,STARIA,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014410457
65,25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,PAJERO_SPORT,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014406238
84,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,HIACE,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014392016
153,25-45,Male,Thai,GENERAL,OTHER STATION,SUZUKI,ERTIGA,Non-EV,S,MPV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014300048
59,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,NAVARA_2_DOOR,Non-EV,M,PICK_UP_2_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0,0.001427507
150,25-45,Male,Thai,GENERAL,OTHER STATION,TESLA,MODEL_X,EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.001426598
126,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,MAJESTY,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014227554
148,25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,3_Sedan,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014149379
73,25-45,Male,Thai,GENERAL,OTHER STATION,AUDI,A5,Non-EV,L,COUPE,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014148019
144,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,X-TRAIL,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014116233
46,25-45,Male,Thai,GENERAL,OTHER STATION,MG,EP,EV,XL,MPV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014109565
92,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,A200,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014066063
134,25-45,Male,Thai,GENERAL,OTHER STATION,FORD,FOCUS,Non-EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014055828
121,25-45,Male,Thai,GENERAL,OTHER STATION,TAILG,WARRIOR,EV,XS,MOTO,WORK HOURS,WEEKEND,No,0.0,0.0,0.0014026323
90,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,VENTURY,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013929494
43,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,MOBILIO,Non-EV,S,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013928581
20,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013897866
88,25-45,Male,Thai,GENERAL,OTHER STATION,ISUZU,D-Max_2_DOOR,Non-EV,M,PICK_UP_2_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013853163
78,25-45,Male,Thai,GENERAL,OTHER STATION,VINFAST,LUX A2.0,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013831342
56,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,220I,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013745865
106,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,GLC250D,Non-EV,L,MPV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013735872
67,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,ALTIS_HYBRID,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013734419
35,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,SIENTA,Non-EV,S,MPV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013721185
61,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,320D,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013704775
140,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,320LI,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013694502
44,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,330E_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013684211
37,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,520D,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013632812
57,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,520I,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.001362253
97,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,530E_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013612248
107,25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,CX-3,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013600197
66,25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,CX-30,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013589924
117,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,C-HR_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013575843
110,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,CLS_300D_COUPE,Non-EV,L,COUPE,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013558306
34,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,ACCORD,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013451567
41,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,HR-V,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013400093
22,25-45,Male,Thai,GENERAL,OTHER STATION,MINI,COOPER_SE_EV,Non-EV,L,EV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013397513
105,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,HR-V_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013389783
