,userid,age,sex,nationality,usertype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,stationtype,timeofday,dayofweek,holiday,reservation_count,view_count
38,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,OTHER STATION,LATE NIGHT,WEEKDAY,No,0.0,2.0
39,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,OTHER STATION,LEISURE HOURS,WEEKDAY,No,0.0,6.0
40,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,OTHER STATION,LEISURE HOURS,WEEKEND,No,0.0,1.0
41,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,18.0
42,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,Yes,0.0,1.0
43,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,3.0
44,430,25-45,Male,Thai,GENERAL,BYD,DOLPHIN,EV,S,HATCHBACK,OTHER STATION,LEISURE HOURS,WEEKDAY,No,0.0,2.0
45,430,25-45,Male,Thai,GENERAL,BYD,DOLPHIN,EV,S,HATCHBACK,OTHER STATION,LEISURE HOURS,WEEKEND,No,0.0,1.0
46,430,25-45,Male,Thai,GENERAL,BYD,DOLPHIN,EV,S,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,3.0
47,430,25-45,Male,Thai,GENERAL,BYD,DOLPHIN,EV,S,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,Yes,0.0,2.0
48,430,25-45,Male,Thai,GENERAL,BYD,DOLPHIN,EV,S,HATCHBACK,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,3.0
49,430,25-45,Male,Thai,GENERAL,HONDA,ACCORD,Non-EV,L,SEDAN,OTHER STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
50,430,25-45,Male,Thai,GENERAL,HONDA,ACCORD,Non-EV,L,SEDAN,OTHER STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
51,430,25-45,Male,Thai,GENERAL,HONDA,ACCORD,Non-EV,L,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,6.0
52,430,25-45,Male,Thai,GENERAL,HONDA,ACCORD,Non-EV,L,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,6.0
53,430,25-45,Male,Thai,GENERAL,HONDA,CITY_HYBRID_Sedan,Non-EV,S,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,7.0
54,430,25-45,Male,Thai,GENERAL,HONDA,CITY_HYBRID_Sedan,Non-EV,S,SEDAN,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,1.0
55,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Hatchback,Non-EV,S,HATCHBACK,OTHER STATION,LATE NIGHT,WEEKDAY,No,2.0,0.0
56,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,OTHER STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
57,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,OTHER STATION,LEISURE HOURS,WEEKEND,Yes,0.0,1.0
58,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,3.0
59,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,OTHER STATION,WORK HOURS,WEEKEND,No,1.0,1.0
60,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,OTHER STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
61,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,OTHER STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
62,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
63,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
64,430,25-45,Male,Thai,GENERAL,HONDA,CR-V,Non-EV,XL,SUV,OTHER STATION,LEISURE HOURS,WEEKDAY,No,0.0,2.0
65,430,25-45,Male,Thai,GENERAL,HONDA,E:N1,EV,L,SUV,OTHER STATION,LATE NIGHT,WEEKDAY,No,1.0,0.0
66,430,25-45,Male,Thai,GENERAL,HONDA,E:N1,EV,L,SUV,OTHER STATION,LEISURE HOURS,WEEKDAY,No,1.0,0.0
67,430,25-45,Male,Thai,GENERAL,HONDA,E:N1,EV,L,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,1.0,0.0
68,430,25-45,Male,Thai,GENERAL,HONDA,HR-V_HYBRID,Non-EV,M,SUV,OTHER STATION,LATE NIGHT,WEEKEND,Yes,0.0,2.0
69,430,25-45,Male,Thai,GENERAL,LEXUS,UX_300e,EV,XL,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,3.0
70,430,25-45,Male,Thai,GENERAL,MAZDA,2_Sedan,Non-EV,S,SEDAN,OTHER STATION,LEISURE HOURS,WEEKEND,No,1.0,0.0
71,430,25-45,Male,Thai,GENERAL,MAZDA,2_Sedan,Non-EV,S,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,No,1.0,3.0
72,430,25-45,Male,Thai,GENERAL,MAZDA,3_Hatchback,Non-EV,M,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,No,1.0,0.0
